CADSync AI Air Filter Input Test Suite
Generated set: 50 separate Excel files
Each workbook contains sheets: Geometry, HolePatterns, Features, Configurations, Metadata

01. 01_AF_PANEL_001.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_001 | LxWxH=194.0x127.0x7.0 mm | Structure=frame | Holes=4 x Dia 5.8 mm | Material=Galvanized_Steel | Tolerance=0.05 mm | Description=Standard air-filter panel variant 1 for production baseline testing.
12. 12_AF_PANEL_012.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_012 | LxWxH=348.0x204.0x10.0 mm | Structure=cyclone_mount | Holes=0 x Dia 7.6 mm | Material=Stainless_304 | Tolerance=0.03 mm | Description=Standard air-filter panel variant 12 for production baseline testing.
13. 13_AF_PANEL_013.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_013 | LxWxH=362.0x211.0x11.0 mm | Structure=service_door | Holes=4 x Dia 9.4 mm | Material=PowderCoated_Steel | Tolerance=0.05 mm | Description=Standard air-filter panel variant 13 for production baseline testing.
14. 14_AF_PANEL_014.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_014 | LxWxH=376.0x218.0x12.0 mm | Structure=cartridge_grid | Holes=6 x Dia 11.2 mm | Material=ABS_Polymer | Tolerance=0.07 mm | Description=Standard air-filter panel variant 14 for production baseline testing.
15. 15_AF_PANEL_015.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_015 | LxWxH=390.0x225.0x13.0 mm | Structure=frame | Holes=8 x Dia 4.0 mm | Material=Aluminum_6061 | Tolerance=0.09 mm | Description=Standard air-filter panel variant 15 for production baseline testing.
16. 16_AF_PANEL_016.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_016 | LxWxH=404.0x232.0x6.0 mm | Structure=flange_box | Holes=10 x Dia 5.8 mm | Material=Galvanized_Steel | Tolerance=0.03 mm | Description=Standard air-filter panel variant 16 for production baseline testing.
17. 17_AF_PANEL_017.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_017 | LxWxH=418.0x239.0x7.0 mm | Structure=baffle_channel | Holes=12 x Dia 7.6 mm | Material=Stainless_304 | Tolerance=0.05 mm | Description=Standard air-filter panel variant 17 for production baseline testing.
18. 18_AF_PANEL_018.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_018 | LxWxH=432.0x246.0x8.0 mm | Structure=manifold | Holes=0 x Dia 9.4 mm | Material=PowderCoated_Steel | Tolerance=0.07 mm | Description=Standard air-filter panel variant 18 for production baseline testing.
19. 19_AF_PANEL_019.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_019 | LxWxH=446.0x253.0x9.0 mm | Structure=cyclone_mount | Holes=4 x Dia 11.2 mm | Material=ABS_Polymer | Tolerance=0.09 mm | Description=Standard air-filter panel variant 19 for production baseline testing.
20. 20_AF_PANEL_020.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_020 | LxWxH=460.0x260.0x10.0 mm | Structure=service_door | Holes=6 x Dia 4.0 mm | Material=Aluminum_6061 | Tolerance=0.03 mm | Description=Standard air-filter panel variant 20 for production baseline testing.
21. 21_AF_PANEL_021.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_021 | LxWxH=474.0x267.0x11.0 mm | Structure=cartridge_grid | Holes=8 x Dia 5.8 mm | Material=Galvanized_Steel | Tolerance=0.05 mm | Description=Standard air-filter panel variant 21 for production baseline testing.
22. 22_AF_PANEL_022.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_022 | LxWxH=488.0x274.0x12.0 mm | Structure=frame | Holes=10 x Dia 7.6 mm | Material=Stainless_304 | Tolerance=0.07 mm | Description=Standard air-filter panel variant 22 for production baseline testing.
23. 23_AF_PANEL_023.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_023 | LxWxH=502.0x281.0x13.0 mm | Structure=flange_box | Holes=12 x Dia 9.4 mm | Material=PowderCoated_Steel | Tolerance=0.09 mm | Description=Standard air-filter panel variant 23 for production baseline testing.
24. 24_AF_PANEL_024.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_024 | LxWxH=516.0x288.0x6.0 mm | Structure=baffle_channel | Holes=0 x Dia 11.2 mm | Material=ABS_Polymer | Tolerance=0.03 mm | Description=Standard air-filter panel variant 24 for production baseline testing.
25. 25_AF_PANEL_025.xlsx | Category=Valid-Production | Expected=PASS | Part_ID=AF_PANEL_025 | LxWxH=530.0x295.0x7.0 mm | Structure=manifold | Holes=4 x Dia 4.0 mm | Material=Aluminum_6061 | Tolerance=0.05 mm | Description=Standard air-filter panel variant 25 for production baseline testing.
26. 26_AF_HEAVY_001.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_001 | LxWxH=1010.0x555.0x20.0 mm | Structure=cyclone_mount | Holes=14 x Dia 12.0 mm | Material=Stainless_316 | Tolerance=0.12 mm | Description=Large industrial filter housing plate 1 for high-airflow equipment.
27. 27_AF_HEAVY_002.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_002 | LxWxH=1120.0x610.0x22.0 mm | Structure=service_door | Holes=16 x Dia 14.0 mm | Material=Stainless_316 | Tolerance=0.16 mm | Description=Large industrial filter housing plate 2 for high-airflow equipment.
28. 28_AF_HEAVY_003.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_003 | LxWxH=1230.0x665.0x24.0 mm | Structure=cartridge_grid | Holes=18 x Dia 16.0 mm | Material=Stainless_316 | Tolerance=0.08 mm | Description=Large industrial filter housing plate 3 for high-airflow equipment.
29. 29_AF_HEAVY_004.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_004 | LxWxH=1340.0x720.0x26.0 mm | Structure=frame | Holes=20 x Dia 10.0 mm | Material=Stainless_316 | Tolerance=0.12 mm | Description=Large industrial filter housing plate 4 for high-airflow equipment.
30. 30_AF_HEAVY_005.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_005 | LxWxH=1450.0x775.0x28.0 mm | Structure=flange_box | Holes=22 x Dia 12.0 mm | Material=Stainless_316 | Tolerance=0.16 mm | Description=Large industrial filter housing plate 5 for high-airflow equipment.
31. 31_AF_HEAVY_006.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_006 | LxWxH=1560.0x830.0x30.0 mm | Structure=baffle_channel | Holes=24 x Dia 14.0 mm | Material=Stainless_316 | Tolerance=0.08 mm | Description=Large industrial filter housing plate 6 for high-airflow equipment.
32. 32_AF_HEAVY_007.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_007 | LxWxH=1670.0x885.0x32.0 mm | Structure=manifold | Holes=26 x Dia 16.0 mm | Material=Stainless_316 | Tolerance=0.12 mm | Description=Large industrial filter housing plate 7 for high-airflow equipment.
33. 33_AF_HEAVY_008.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_008 | LxWxH=1780.0x940.0x34.0 mm | Structure=cyclone_mount | Holes=28 x Dia 10.0 mm | Material=Stainless_316 | Tolerance=0.16 mm | Description=Large industrial filter housing plate 8 for high-airflow equipment.
34. 34_AF_HEAVY_009.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_009 | LxWxH=1890.0x995.0x36.0 mm | Structure=service_door | Holes=30 x Dia 12.0 mm | Material=Stainless_316 | Tolerance=0.08 mm | Description=Large industrial filter housing plate 9 for high-airflow equipment.
35. 35_AF_HEAVY_010.xlsx | Category=Valid-HeavyDuty | Expected=PASS | Part_ID=AF_HEAVY_010 | LxWxH=2000.0x1050.0x38.0 mm | Structure=cartridge_grid | Holes=32 x Dia 14.0 mm | Material=Stainless_316 | Tolerance=0.12 mm | Description=Large industrial filter housing plate 10 for high-airflow equipment.
36. 36_AF_WARN_001.xlsx | Category=Warning-Mismatch | Expected=PASS_WITH_WARNING | Part_ID=AF_WARN_001 | LxWxH=260.0x210.0x8.0 mm | Structure=frame | Holes=0 x Dia 8.0 mm | Material=Aluminum_6061 | Tolerance=0.05 mm | Description=Hole_Count is zero but HolePatterns has rows; tests warning generation.
37. 37_AF_WARN_002.xlsx | Category=Warning-Mismatch | Expected=PASS_WITH_WARNING | Part_ID=AF_WARN_002 | LxWxH=320.0x140.0x8.0 mm | Structure=baffle_channel | Holes=8 x Dia 8.0 mm | Material=Galvanized_Steel | Tolerance=0.06 mm | Description=Hole_Count differs from HolePatterns row count to test warning handling.
38. 38_AF_WARN_003.xlsx | Category=Warning-Orientation | Expected=PASS_WITH_WARNING | Part_ID=AF_WARN_003 | LxWxH=180.0x300.0x7.0 mm | Structure=service_door | Holes=4 x Dia 6.0 mm | Material=ABS_Polymer | Tolerance=0.04 mm | Description=Width greater than length with Landscape metadata to trigger orientation warning.
39. 39_AF_WARN_004.xlsx | Category=Boundary-Minimum | Expected=PASS | Part_ID=AF_WARN_004 | LxWxH=10.0x10.0x1.0 mm | Structure=plate | Holes=1 x Dia 0.5 mm | Material=Stainless_304 | Tolerance=0.001 mm | Description=Lower-bound dimensions and tolerance values for boundary testing.
40. 40_AF_WARN_005.xlsx | Category=Boundary-Maximum | Expected=PASS | Part_ID=AF_WARN_005 | LxWxH=5000.0x5000.0x2000.0 mm | Structure=flange_box | Holes=4 x Dia 500.0 mm | Material=Stainless_316 | Tolerance=2.0 mm | Description=Upper-bound dimensions and tolerance values for stress and limit testing.
41. 41_AF_WARN_006.xlsx | Category=Valid-HighDensity | Expected=PASS | Part_ID=AF_WARN_006 | LxWxH=260.0x180.0x10.0 mm | Structure=cartridge_grid | Holes=16 x Dia 6.0 mm | Material=PowderCoated_Steel | Tolerance=0.08 mm | Description=Dense 4x4 hole matrix for airflow and perforation stress testing.
42. 42_AF_WARN_007.xlsx | Category=Valid-HighDensity | Expected=PASS | Part_ID=AF_WARN_007 | LxWxH=420.0x300.0x14.0 mm | Structure=cyclone_mount | Holes=24 x Dia 8.0 mm | Material=Galvanized_Steel | Tolerance=0.09 mm | Description=High-count perforated panel case for CNC cycle-time benchmarking.
43. 43_AF_WARN_008.xlsx | Category=Valid-LowCount | Expected=PASS | Part_ID=AF_WARN_008 | LxWxH=360.0x260.0x12.0 mm | Structure=manifold | Holes=2 x Dia 20.0 mm | Material=Aluminum_6061 | Tolerance=0.05 mm | Description=Two-mount-hole bracket style part used for filter frame fixtures.
44. 44_AF_WARN_009.xlsx | Category=Valid-Square | Expected=PASS | Part_ID=AF_WARN_009 | LxWxH=240.0x240.0x9.0 mm | Structure=frame | Holes=9 x Dia 7.0 mm | Material=Stainless_304 | Tolerance=0.06 mm | Description=Square filter faceplate with 3x3 symmetric perforation pattern.
45. 45_AF_WARN_010.xlsx | Category=Valid-LongPanel | Expected=PASS | Part_ID=AF_WARN_010 | LxWxH=700.0x160.0x8.0 mm | Structure=baffle_channel | Holes=14 x Dia 5.0 mm | Material=PowderCoated_Steel | Tolerance=0.05 mm | Description=Long narrow cartridge cover panel for duct-mounted air filters.
46. 46_af_invalid_001.xlsx | Category=Invalid-PartId | Expected=FAIL | Part_ID=af_invalid_001 | LxWxH=220.0x160.0x8.0 mm | Structure=service_door | Holes=4 x Dia 10.0 mm | Material=Aluminum_6061 | Tolerance=0.06 mm | Description=Lowercase Part_ID should fail naming convention validation.
47. 47_AF_INVALID_002.xlsx | Category=Invalid-ToleranceRatio | Expected=FAIL | Part_ID=AF_INVALID_002 | LxWxH=250.0x180.0x6.0 mm | Structure=manifold | Holes=2 x Dia 20.0 mm | Material=Stainless_304 | Tolerance=1.5 mm | Description=Tolerance too high relative to thickness triggers tolerance ratio error.
48. 48_AF_INVALID_003.xlsx | Category=Invalid-HoleBounds | Expected=FAIL | Part_ID=AF_INVALID_003 | LxWxH=200.0x100.0x10.0 mm | Structure=cyclone_mount | Holes=2 x Dia 8.0 mm | Material=Galvanized_Steel | Tolerance=0.08 mm | Description=Hole coordinates outside plate bounds to test boundary violations.
49. 49_AF_INVALID_004.xlsx | Category=Invalid-Overlap | Expected=FAIL | Part_ID=AF_INVALID_004 | LxWxH=160.0x120.0x8.0 mm | Structure=frame | Holes=2 x Dia 18.0 mm | Material=PowderCoated_Steel | Tolerance=0.1 mm | Description=Two holes intentionally too close causing feature overlap risk.
50. 50_AF_INVALID_005.xlsx | Category=Invalid-NegativeHoleCount | Expected=FAIL | Part_ID=AF_INVALID_005 | LxWxH=140.0x90.0x6.0 mm | Structure=cartridge_grid | Holes=-1 x Dia 5.0 mm | Material=ABS_Polymer | Tolerance=0.04 mm | Description=Negative hole count input validates rejection of impossible geometry.
